Team,VenueName,City,State,Round,DistanceMiles,AdvantageScore
Tulsa,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1267.4,0.121
Nebraska,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1270.1,0.1204
East Texas A&M,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1284.2,0.1176
Texas A&M,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1298.7,0.1148
South Dakota,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1298.7,0.1148
Texas-Rio Grande Valley,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1310.8,0.1125
Omaha,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1310.9,0.1125
Creighton,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1314.3,0.1119
Kansas,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1318.0,0.1112
Prairie View A&M,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1329.9,0.109
Sam Houston,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1342.8,0.1067
South Dakota State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1345.9,0.1061
Kansas City,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1356.8,0.1042
Houston Christian,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1365.4,0.1027
Arkansas,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1366.5,0.1025
Rice,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1371.2,0.1017
Texas Southern,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1373.6,0.1013
Houston,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1374.5,0.1012
Navy,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1378.0,0.1006
Stephen F. Austin,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1378.6,0.1005
Missouri State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1416.0,0.0944
North Dakota State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1427.1,0.0927
Drake,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1435.0,0.0915
Lamar,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1440.1,0.0907
Iowa State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1442.6,0.0903
North Dakota,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1454.9,0.0885
Northwestern State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1465.0,0.087
Central Arkansas,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1466.2,0.0868
Missouri,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1474.5,0.0856
Little Rock,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1475.2,0.0856
Grambling,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1475.5,0.0855
Louisiana Tech,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1479.6,0.0849
McNeese,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1486.7,0.0839
Arkansas-Pine Bluff,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1496.9,0.0825
Northern Iowa,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1509.5,0.0808
Louisiana-Monroe,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1512.8,0.0804
Minnesota,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1527.0,0.0785
Iowa,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1542.2,0.0765
Arkansas State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1562.7,0.0739
Western Illinois,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1573.2,0.0727
Alcorn State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1575.3,0.0724
Saint Louis,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1585.8,0.0711
Lindenwood,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1597.3,0.0698
Louisiana State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1598.0,0.0697
Louisiana,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1598.0,0.0697
Mississippi Valley State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1599.2,0.0696
Jackson State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1622.3,0.067
Southeast Missouri State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1622.4,0.0669
Bradley,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1630.9,0.066
Nicholls State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1632.2,0.0659
Mississippi,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1636.2,0.0654
Lafayette,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1636.5,0.0654
Southeastern Louisiana,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1636.9,0.0653
Southern Illinois,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1638.7,0.0651
Illinois State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1661.1,0.0628
Tennessee-Martin,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1661.4,0.0627
Wisconsin,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1668.0,0.062
Tulane,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1668.2,0.062
New Orleans,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1669.5,0.0619
Northern Illinois,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1685.8,0.0602
Southern Mississippi,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1687.2,0.0601
Mississippi State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1688.0,0.06
Murray State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1690.5,0.0598
Eastern Illinois,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1698.9,0.0589
Illinois,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1699.4,0.0589
Southern Indiana,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1723.4,0.0566
Evansville,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1731.2,0.0558
Indiana State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1739.9,0.055
Marquette,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1741.7,0.0549
DePaul,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1743.2,0.0547
Northwestern,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1743.3,0.0547
Chicago State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1743.3,0.0547
Austin Peay,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1744.4,0.0546
Illinois-Chicago,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1744.5,0.0546
Milwaukee,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1744.6,0.0546
Alabama,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1762.1,0.053
South Alabama,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1764.0,0.0529
North Alabama,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1764.0,0.0529
Green Bay,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1764.1,0.0529
Purdue,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1769.5,0.0524
Valparaiso,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1770.1,0.0523
Tennessee State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1775.5,0.0519
Vanderbilt,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1777.0,0.0517
Lipscomb,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1777.4,0.0517
Belmont,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1777.6,0.0517
Indiana,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1787.2,0.0509
Western Kentucky,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1792.2,0.0504
Alabama A&M,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1800.0,0.0498
UAB,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1800.2,0.0498
Samford,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1801.3,0.0497
Middle Tennessee,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1803.4,0.0495
IU Indy,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1806.3,0.0493
Butler,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1806.7,0.0492
Notre Dame,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1813.4,0.0487
Louisville,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1827.5,0.0476
Bellarmine,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1830.3,0.0473
Alabama State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1844.7,0.0462
Ball State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1848.2,0.0459
Tennessee Tech,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1848.7,0.0459
Western Michigan,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1850.2,0.0458
Jacksonville State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1855.4,0.0454
Purdue Fort Wayne,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1868.1,0.0444
Chattanooga,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1869.0,0.0444
Troy,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1872.7,0.0441
Auburn,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1886.7,0.0431
Cincinnati,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1891.9,0.0427
West Georgia,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1895.8,0.0424
Kentucky,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1895.9,0.0424
Xavier,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1896.4,0.0424
Northern Kentucky,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1896.6,0.0424
Miami (OH),Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1902.5,0.042
Central Michigan,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1904.4,0.0418
Eastern Kentucky,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1907.8,0.0416
Michigan State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1910.8,0.0414
Dayton,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1912.3,0.0413
Wright State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1918.9,0.0408
Kennesaw State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1919.7,0.0408
Georgia Tech,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1933.2,0.0399
Georgia State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1934.2,0.0398
Tennessee,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1937.9,0.0396
Bowling Green,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1945.8,0.039
Michigan,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1946.8,0.039
Toledo,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1947.9,0.0389
Eastern Michigan,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1950.9,0.0387
Morehead State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1953.7,0.0385
Ohio State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1973.6,0.0373
Oakland,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1974.8,0.0372
Detroit Mercy,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1976.6,0.0371
Western Carolina,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1984.1,0.0366
Mercer,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1988.2,0.0364
Georgia,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1989.1,0.0363
Florida State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1991.6,0.0362
Florida A&M,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,1992.5,0.0361
Marshall,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2007.5,0.0352
Clemson,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2010.9,0.035
East Tennessee State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2021.9,0.0344
Ohio,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2023.0,0.0343
Furman,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2030.5,0.0339
Cleveland State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2047.4,0.033
Akron,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2054.8,0.0326
South Carolina Upstate,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2055.9,0.0325
Appalachian State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2060.4,0.0323
Kent State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2063.9,0.0321
Gardner-Webb,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2070.1,0.0317
Youngstown State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2099.8,0.0302
Georgia Southern,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2100.3,0.0302
Winthrop,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2109.0,0.0297
Radford,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2116.1,0.0294
Florida,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2118.8,0.0293
South Carolina,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2120.7,0.0292
Charlotte,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2121.7,0.0291
Virginia Tech,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2122.2,0.0291
Robert Morris,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2122.3,0.0291
Mercyhurst,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2132.6,0.0286
Duquesne,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2133.8,0.0285
Pittsburgh,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2135.4,0.0285
West Virginia,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2137.0,0.0284
South Carolina State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2137.4,0.0284
Wake Forest,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2139.2,0.0283
Jacksonville,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2147.1,0.0279
North Florida,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2150.1,0.0278
South Florida,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2150.2,0.0278
High Point,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2156.3,0.0275
UNC Greensboro,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2165.5,0.0271
Memphis,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2172.6,0.0268
VMI,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2172.7,0.0268
Long Island University,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2178.7,0.0265
Elon,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2182.2,0.0263
Niagara,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2187.9,0.0261
Charleston Southern,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2188.8,0.026
Liberty,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2191.0,0.0259
Stetson,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2192.2,0.0259
Canisius,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2196.2,0.0257
Buffalo,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2198.0,0.0256
James Madison,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2199.7,0.0256
Bethune-Cookman,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2203.7,0.0254
UCF,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2207.9,0.0252
North Carolina A&T,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2208.7,0.0252
North Carolina,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2209.0,0.0252
St. Bonaventure,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2213.1,0.025
Duke,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2214.1,0.025
North Carolina Central,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2216.9,0.0249
Virginia,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2221.6,0.0247
Florida Gulf Coast,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2227.6,0.0244
NC State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2231.4,0.0243
Campbell,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2231.7,0.0242
Longwood,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2232.4,0.0242
Coastal Carolina,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2236.6,0.024
Penn State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2244.7,0.0237
George Mason,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2281.5,0.0223
Virginia Commonwealth,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2282.2,0.0223
American,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2292.6,0.0219
Georgetown,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2293.6,0.0219
George Washington,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2295.1,0.0218
Bucknell,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2295.8,0.0218
Howard,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2296.5,0.0218
East Carolina,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2298.8,0.0217
Maryland-Baltimore County,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2311.3,0.0212
Coppin State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2313.7,0.0211
Towson,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2315.4,0.0211
Cornell,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2315.8,0.0211
Loyola (MD),Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2315.8,0.0211
Morgan State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2317.5,0.021
William & Mary,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2324.4,0.0208
Florida International,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2326.6,0.0207
Florida Atlantic,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2330.1,0.0206
Miami (FL),Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2333.2,0.0205
Syracuse,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2334.6,0.0204
Binghamton,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2341.9,0.0202
Hampton,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2347.6,0.02
Old Dominion,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2350.4,0.0199
Norfolk State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2353.3,0.0198
Delaware,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2360.0,0.0196
Colgate,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2363.8,0.0195
Maryland-Eastern Shore,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2373.0,0.0192
Delaware State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2373.9,0.0191
Lehigh,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2375.7,0.0191
Villanova,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2380.0,0.0189
Saint Joseph's,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2385.5,0.0188
Pennsylvania,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2388.2,0.0187
Drexel,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2388.4,0.0187
La Salle,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2389.9,0.0186
Temple,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2390.1,0.0186
Rider,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2410.5,0.018
Princeton,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2414.6,0.0179
Rutgers,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2426.2,0.0175
Seton Hall,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2434.4,0.0173
NJIT,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2437.9,0.0172
Saint Peter's,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2443.6,0.017
Marist,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2447.1,0.0169
Columbia,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2448.9,0.0169
Manhattan,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2449.0,0.0169
Monmouth,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2449.1,0.0169
Albany (NY),Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2450.8,0.0168
Davidson,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2451.7,0.0168
Fordham,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2452.7,0.0168
Iona,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2457.6,0.0166
St. John's (NY),Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2458.2,0.0166
Hofstra,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2468.3,0.0163
Vermont,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2482.4,0.016
Fairfield,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2484.1,0.0159
Sacred Heart,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2484.5,0.0159
Stony Brook,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2492.4,0.0157
Yale,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2497.6,0.0156
New Haven,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2498.9,0.0155
Quinnipiac,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2501.9,0.0155
Central Connecticut State,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2507.5,0.0153
Dartmouth,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2526.9,0.0148
Connecticut,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2533.6,0.0147
Holy Cross,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2554.7,0.0142
Hawaii,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2556.6,0.0141
Bryant,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2569.7,0.0138
Merrimack,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2570.5,0.0138
Providence,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2575.3,0.0137
Rhode Island,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2576.7,0.0136
Brown,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2576.8,0.0136
Massachusetts-Lowell,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2578.2,0.0136
Boston College,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2586.9,0.0134
Harvard,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2589.1,0.0134
Boston University,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2590.2,0.0133
Massachusetts,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2590.5,0.0133
Northeastern,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2590.9,0.0133
Stonehill,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2592.6,0.0133
New Hampshire,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2595.5,0.0132
Maine,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2704.9,0.011
St. Thomas,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2800.5,0.0094
Saint Mary's,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,2954.8,0.0073
Richmond,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,5438.9,0.0001
Pepperdine,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,5440.7,0.0001
Maryland,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,5972.6,0.0
Presbyterian,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,5979.8,0.0
Wagner,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,6068.3,0.0
Siena,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,6218.3,0.0
Army,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,6477.3,0.0
FDU,Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,7254.6,0.0
Saint Francis (PA),Crypto.com Arena,Los Angeles,CA,Sweet 16/Elite 8,9401.9,0.0
IU Indy,Gainbridge Fieldhouse,Indianapolis,IN,First/Second,1.4,0.9977
Butler,Gainbridge Fieldhouse,Indianapolis,IN,First/Second,5.4,0.9911
Indiana,Gainbridge Fieldhouse,Indianapolis,IN,First/Second,44.5,0.9285
Ball State,Gainbridge Fieldhouse,Indianapolis,IN,First/Second,50.0,0.92
Purdue,Gainbridge Fieldhouse,Indianapolis,IN,First/Second,61.5,0.9026
Indiana State,Gainbridge Fieldhouse,Indianapolis,IN,First/Second,69.7,0.8903
Cincinnati,Gainbridge Fieldhouse,Indianapolis,IN,First/Second,96.5,0.8514
Miami (OH),Gainbridge Fieldhouse,Indianapolis,IN,First/Second,97.0,0.8508
